Refined_Formal_Name,Original-QID,Original-Refined_Category,Original-Status/Notes,Second-Query_QID,Second-Query_Label,Second-Query_Description,Second-Query_Logic
Andrea Celesti,Q1065524,Person,[Validation] 威尼斯画家。,Q1065524,Andrea Celesti,Italian painter (1637-1712),"High Confidence - Score: 130.0 (Sim: 1.00, Cat: Match)"
Andrea Doria,Q156521,Person,[Validation] 热那亚海军上将。,Q108451660,Andrea Doria,Roman Catholic Bishop of Andros,"High Confidence - Score: 130.0 (Sim: 1.00, Cat: Match)"
Andrea Ferreri,Q18217670,Person,"[OCR Fix] ""Ferrerio"" -> ""Ferreri"" (巴洛克雕塑家)。 | [Validation] 巴洛克雕塑家。",Q18217670,Andrea Ferreri,Italian sculptor (1673-1744),"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Andrea Gerini,Q44635166,Person,[Category Fix] 原文误标为 Man-Made Object。佛罗伦萨收藏家。 | [Validation] 佛罗伦萨贵族/收藏家。,Q44635166,Andrea Gerini,,"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Andrea Giacomo Podestà,Q4755099,Person,[Validation] 画家/版画家。,Q4755099,Andrea Giacomo Podestà,Italian painter,"High Confidence - Score: 130.0 (Sim: 1.00, Cat: Match)"
Andrea Giustiniani,,Person,[Validation] 贵族 (Prince of Bassano)。,Q106395490,Andrea Giustiniani,,"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Andrea Locatelli,Q494275,Person,[Validation] 罗马风景画家。,Q494275,Andrea Locatelli,Italian painter (1695-1741),"High Confidence - Score: 130.0 (Sim: 1.00, Cat: Match)"
Andrea Mantegna,Q5681,Person,[Validation] 文艺复兴画家。,Q5681,Andrea Mantegna,Italian Renaissance painter (1431-1506),"High Confidence - Score: 130.0 (Sim: 1.00, Cat: Match)"
Andrea Memmo,Q1052776,Person,[Validation] 威尼斯政治家/作家。,Q1052776,Andrea Memmo,Italian politician and diplomat (1729-1793),"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Andrea Ottini,,Person,"[Check Original] 可能是 ""Pasquale Ottino"" 的误拼，或同名小众人物。",,,,No results found
Andrea Palladio,Q177692,Person,[Validation] 建筑师。,Q177692,Andrea Palladio,Italian architect (1508–1580),"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Andrea Podestà,,Person,"[OCR Fix] ""Podest角"" -> ""Podestà""。画家/版画家。",Q3615952,Andrea Podestà,Italian politician (1832-1895),"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Andrea Pozzo,Q380103,Person,[Validation] 耶稣会画家/建筑师。,Q380103,Andrea Pozzo,painter of the Late Baroque (1642-1709),"High Confidence - Score: 130.0 (Sim: 1.00, Cat: Match)"
Andrea Procaccini,Q2846401,Person,[Validation] 画家。,Q2846401,Andrea Procaccini,Italian painter (1671-1734),"High Confidence - Score: 130.0 (Sim: 1.00, Cat: Match)"
Andrea Querini,Q62056063,Person,[Validation] 威尼斯贵族。,Q62056063,Andrea Querini,"senator, poet, patron","High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Andrea Sacchi,Q495008,Person,[Validation] 罗马巴洛克画家。,Q495008,Andrea Sacchi,painter active in Rome (1599-1661),"High Confidence - Score: 130.0 (Sim: 1.00, Cat: Match)"
Andrea Schiavone,Q495060,Person,[Validation] 威尼斯画家。,Q495060,Andrea Schiavone,Italian painter (1510-1563),"High Confidence - Score: 130.0 (Sim: 1.00, Cat: Match)"
Andrea Stazio,,Person,威尼斯灰泥艺术家（Stuccatore）。,,,,No results found
Andrea Tessier,Q23011967,Person,[Validation] 19世纪威尼斯档案学家。,Q23011967,Andrea Tessier,bibliographer (1819-1896),"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Andrea Toresani,Q4755304,Person,[Validation] 人物。,Q4755304,Andrea Toresani,Italian painter (1727-1760),"High Confidence - Score: 130.0 (Sim: 1.00, Cat: Match)"
Andrea Torresani,,Person,威尼斯出版商 (Aldine Press)。,Q4755304,Andrea Toresani,Italian painter (1727-1760),"High Confidence - Score: 116.8 (Sim: 0.97, Cat: Match)"
Andrea Tron,Q110224729,Person,[Validation] 威尼斯政治家。,Q110352115,Andrea Tron,1 Apr 1647 - 1 Apr 1722,"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Andrea Vaccaro,Q2707224,Person,[Validation] 那不勒斯画家。,Q2707224,Andrea Vaccaro,Italian painter (1604-1670),"High Confidence - Score: 130.0 (Sim: 1.00, Cat: Match)"
Andrea Zucchi,Q30250990,Person,[Validation] 版画家。,Q30250990,Andrea Zucchi,"Italian painter, scenographer and printmaker (1679–1740)","High Confidence - Score: 130.0 (Sim: 1.00, Cat: Match)"
Andrea del Rosso,,Person,[Validation] 佛罗伦萨收藏家。 | 佛罗伦萨收藏家。,,,,No results found
Andrea del Sarto,Q5571,Person,[Validation] 画家。,Q5571,Andrea del Sarto,Italian painter (1486-1530),"High Confidence - Score: 130.0 (Sim: 1.00, Cat: Match)"
Andreas Scherber,Q500372,Person,[Validation] 人物。,Q500372,Andreas Scherber,German politician (1893-1974),"High Confidence - Score: 130.0 (Sim: 1.00, Cat: Match)"
Andreina Griseri,Q93253370,Person,[Validation] 艺术史学家。,Q93253370,Andreina Griseri,Italian art historian (1925-2022),"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Andrew Fountaine,Q4756994,Person,[Category Fix] 原文误标为 Work。 | [Validation] 英国收藏家。,Q75244499,Andrew Fountaine,Peerage person ID=6242,"High Confidence - Score: 130.0 (Sim: 1.00, Cat: Match)"
Andromache weeping before Aeneas,,Work,[Validation] 画作主题。,,,,No results found
André Félibien,Q518705,Person,[Validation] 法国宫廷史官/艺术理论家。,Q518705,André Félibien,French architecture writer (1619–1695),"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Andrés Marzo,Q4760227,Person,[Validation] 西班牙巴洛克画家。,Q4760227,Andrés Marzo,Spanish baroque painter,"High Confidence - Score: 130.0 (Sim: 1.00, Cat: Match)"
Angel with the Superscription,Q15181138,Work,[Validation] 圣天使桥雕塑 (贝尼尼)。,Q29026912,Angel with the Superscription,Sculpture by GIanlorenzo Bernini,"High Confidence - Score: 130.0 (Sim: 1.00, Cat: Match)"
Angelica Grill,,Person,[Validation] 人物。,,,,No results found
Angelica Griè,,Person,[Check Original] 疑似 OCR 错误或极生僻人名。,,,,No results found
Angelo Borzelli,Q61472867,Person,[Validation] 历史学家/文学评论家。,Q61472867,Angelo Borzelli,author (1863-),"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Angelo Calogerà,Q3616914,Person,[Validation] 本笃会修士/作家。,Q3616914,Angelo Calogerà,Italian writer,"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Angelo Caroselli,Q1414382,Person,[Validation] 罗马画家。,Q1414382,Angelo Caroselli,Italian painter (1585-1652),"High Confidence - Score: 130.0 (Sim: 1.00, Cat: Match)"
Angelo Cesi,Q28109298,Person,[Validation] 主教 (Todi)。,Q28109298,Angelo Cesi,"Italian Roman catholic priest, bishop of Rimini (1592-1646)","High Confidence - Score: 130.0 (Sim: 1.00, Cat: Match)"
Angelo Contarini,,Person,[Validation] 威尼斯贵族。,Q55226769,Angelo Contarini,,"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Angelo Crespi,Q3616942,Person,[Validation] 人物。,Q114122885,Angelo Crespi,,"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Angelo Giori,Q536015,Person,[Validation] 枢机主教 (贝尼尼赞助人)。,Q536015,Angelo Giori,Catholic cardinal,"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Angelo Maria Querini,Q536170,Person,[Validation] 枢机主教/学者。,Q536170,Angelo Maria Querini,Italian cardinal,"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Angelo Michele Colonna,Q2312606,Person,[Validation] 夸德拉图拉画家。,Q2312606,Angelo Michele Colonna,Italian painter (1604-1687),"High Confidence - Score: 130.0 (Sim: 1.00, Cat: Match)"
Angelo Pinetti,Q125962639,Person,[Validation] 艺术史学家。,Q125962639,Angelo Pinetti,Italian historian,"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Angelo Querini,Q536447,Person,[Validation] 威尼斯贵族。,Q536447,Angelo Querini,Italian politician (1721-1796),"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Angelo Solerti,Q3617231,Person,[Validation] 音乐史学家/文学评论家。,Q3617231,Angelo Solerti,Italian literary critic and musicologist (1865-1907),"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Angelo Trevisani,Q536726,Person,[Validation] 威尼斯画家。,Q536726,Angelo Trevisani,Italian painter (1669-1753),"High Confidence - Score: 130.0 (Sim: 1.00, Cat: Match)"
Angels carrying the Instruments of the Passion,,Work,[Validation] 绘画主题。,,,,No results found
Anglesey Abbey,,Place,[Validation] 地名（英国庄园）。,Q3021583,Anglesey Abbey,"National Trust property on a former monastic site in Cambridgeshire, England, UK","High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Aniello Falcone,Q546528,Person,[Validation] 那不勒斯画家。,Q546528,Aniello Falcone,Italian Baroque painter (1607–1656),"High Confidence - Score: 130.0 (Sim: 1.00, Cat: Match)"
Animals and Figures in the Flemish Style,,Work,[Validation] 画作描述/标题 (Castiglione风格)。,,,,No results found
Ann Sutherland Harris,Q18934849,Person,[Validation] 艺术史学家。,Q18934849,Ann Sutherland Harris,British art historian (1937-),"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Anna Banti,Q470147,Person,[Validation] 作家/艺术史学家 (Roberto Longhi之妻)。,Q470147,Anna Banti,"Italian novelist, art historian, art critic, and translator (1895–1985)","High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Anna Colonna,Q4766932,Person,[Validation] 巴贝里尼家族成员 (Taddeo Barberini 之妻)。,Q4766932,Anna Colonna,Italian noblewoman,"High Confidence - Score: 130.0 (Sim: 1.00, Cat: Match)"
Anna Maria Luisa de' Medici,Q233181,Person,[Validation] 美第奇家族最后一位直系成员。 | 普法尔茨选帝侯夫人，美第奇家族最后一位直系成员。,Q233181,Anna Maria Luisa de' Medici,Wife of Johann Wilhelm Palatine Elector (1667-1743),"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Annamaria Gabrielli,,Person,[Validation] 学者/档案学家。,,,,No results found
Annan Gallery,,Organization,[Validation] 画廊。,,,,No results found
Anne Claude de Caylus,Q2734012,Person,[Disambiguation] 凯吕斯伯爵。,Q2734012,"Anne Claude Philippe, Comte de Caylus",French antiquarian (1692-1765),"Medium Confidence - Score: 72.4 (Sim: 0.72, Cat: Neutral)"
Anne Claude de Caylus (Comte de Caylus),,Person,[Full Name] 考古学家/收藏家。,,,,No results found
Anne Marie d'Orléans,,Person,(Duchess of Savoy) 维托里奥·阿梅迪奥二世之妻。,Q230873,Anne Marie d'Orléans,Queen Consort of Sardinia (1669-1728),"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Anne of Austria,,Person,[Category Fix] 原文误标为 Place。 | [Validation] 奥地利的安妮 (法国王后)。,Q151209,Anne of Austria,"Queen, consort of Louis XIII, King of France, lived (1601-1666)","High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
"Anne, Queen of Great Britain",,Person,[Validation] 安妮女王。,Q119702,Anne of Great Britain,Queen of Great Britain and Ireland from 1702 to 1714 (1665–1714),"Medium Confidence - Score: 85.7 (Sim: 0.86, Cat: Neutral)"
Anne-Marie du Boccage,Q2850913,Person,[Disambiguation] 法国女作家。 | [Validation] 法国作家。,Q2850913,Anne-Marie du Boccage,French writer,"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Annibale Albani,,Person,[Reconstruction] 名字倒装复原。,Q566836,Annibale Albani,Italian cardinal (1682-1751),"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Annibale Carracci,Q7824,Person,[Validation] 博洛尼亚画家。,Q7824,Annibale Carracci,Bolognese painter (1560–1609),"High Confidence - Score: 130.0 (Sim: 1.00, Cat: Match)"
Annibale Gonzaga,Q566861,Person,[Validation] 曼图亚亲王/将军。,Q566861,Annibale Gonzaga,Austrian field marshal,"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Annibale Laparelli,,Person,[Validation] 建筑师/雕塑家 (16世纪)。,,,,No results found
Annunciation,,Work,[Validation] 圣母领报（主题）。,Q135642182,Annunciation,painting by Juan de Bustamante,"High Confidence - Score: 130.0 (Sim: 1.00, Cat: Match)"
Anselmo Costadoni,Q4770614,Person,[Validation] 本笃会学者。,Q4770614,Anselmo Costadoni,Italian monk (1714-1785),"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Antenor,Q571969,Person (Myth),[Validation] 帕多瓦的建立者。,Q745125,Antenor,male given name,"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
"Anthony Ashley Cooper, 1st Earl of Shaftesbury",,Person,,Q336002,"Anthony Ashley Cooper, 1st Earl of Shaftesbury",English politician and founder of the Whig party (1621-1683),"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
"Anthony Ashley Cooper, 3rd Earl of Shaftesbury",,Person,哲学家，《Characteristicks》作者。,Q335112,"Anthony Ashley-Cooper, 3rd Earl of Shaftesbury",English politician and Earl (1671-1713),"High Confidence - Score: 97.8 (Sim: 0.98, Cat: Neutral)"
"Anthony Ashley-Cooper, 7th Earl of Shaftesbury",Q333294,Person,[Validation] 政治家/慈善家。,Q333294,"Anthony Ashley-Cooper, 7th Earl of Shaftesbury",British politician (1801-1885),"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Anthony Blunt,Q508392,Person,[Validation] 艺术史学家。,Q75639217,Anthony Blunt,Peerage person ID=263847,"High Confidence - Score: 130.0 (Sim: 1.00, Cat: Match)"
Anthony Morris Clark,Q19753768,Person,[Validation] 艺术史学家 (罗马18世纪艺术专家)。,Q19753768,Anthony M. Clark,museum director,"Medium Confidence - Score: 83.3 (Sim: 0.83, Cat: Neutral)"
Anthony Radcliffe,Q59529289,Person,[Validation] 博物馆策展人 (V&A)。,Q59529289,Anthony Radcliffe,British art historian and curator,"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Anthony van Dyck,Q150679,Person,[Validation] 画家。,Q150679,Anthony van Dyck,Flemish Baroque artist (1599–1641),"High Confidence - Score: 130.0 (Sim: 1.00, Cat: Match)"
Anti-papal satire (Alexander VII),,Work/Concept,[Validation] 历史文献/概念。,,,,No results found
Antichiesetta (San Marco),,Place,[Context] 圣马可教堂的前厅部分。,,,,No results found
Antichità di Palazzi,,Work,"[OCR Fix] 可能是 ""Antichità di Roma"" 或具体的宫殿考古著作。",,,,No results found
Antinous,Q171876,Person,[Validation] 哈德良皇帝的宠臣/神化人物。,Q171876,Antinous,lover of Roman emperor Hadrian,"High Confidence - Score: 130.0 (Sim: 1.00, Cat: Match)"
Antoine Coypel,Q585926,Person,[Validation] 法国画家。,Q585926,Antoine Coypel,French painter (1661-1722),"High Confidence - Score: 130.0 (Sim: 1.00, Cat: Match)"
Antoine Dumesnil,Q2853900,Person,[Validation] 18世纪学者/作家。,Q2853900,Antoine Dumesnil,French politician (1805-1891),"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Antoine Pesne,Q203758,Person,[Validation] 法国/普鲁士宫廷画家。,Q203758,Antoine Pesne,French rococo painter (1683-1757),"High Confidence - Score: 130.0 (Sim: 1.00, Cat: Match)"
Antoine Seilern,Q586987,Person,[Validation] 收藏家 (Count Seilern)。,Q586987,Antoine Seilern,"British art historian, collector and museum benefactor (1901-1978)","High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Antoine-Joseph Dezallier d'Argenville,,Person,[Disambiguation] 极可能是 d'Argenville (理论家/园林专家)。,Q585422,Dezallier d'Argenville,French naturalist and writer (1680-1765),"Medium Confidence - Score: 74.6 (Sim: 0.75, Cat: Neutral)"
Anton Domenico Gabbiani,Q1083096,Person,[Validation] 佛罗伦萨画家。,Q1083096,Anton Domenico Gabbiani,Italian painter (1652-1726),"High Confidence - Score: 130.0 (Sim: 1.00, Cat: Match)"
"Anton Florian, Prince of Liechtenstein",,Person,[Full Name] 列支敦士登亲王。,Q589374,"Anton Florian, Prince of Liechtenstein",(1656-1721) Prince of Liechtenstein,"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Anton Francesco Farsetti,,Person,[Category Fix] 原文误标为 Place。威尼斯收藏家。,,,,No results found
Anton Francesco Goli,,Person,[Validation] 历史人物。,,,,No results found
Anton Maria Zanetti (the Elder),,Person,[Disambiguation] 老扎内蒂 (鉴赏家/版画家)。,,,,No results found
Anton Maria Zanetti the Elder,,Person,威尼斯鉴赏家/版画家。,Q944948,Antonio Maria Zanetti,"Venetian artist, engraver, art critic, art dealer and connoisseur (1679–1767)","High Confidence - Score: 96.0 (Sim: 0.76, Cat: Match)"
Anton Maria Zanetti the Younger,,Person,威尼斯图书馆员/艺术史学家。,Q18507790,Anton Maria Zanetti,"(Venetian artist, 1706–1778)","High Confidence - Score: 96.0 (Sim: 0.76, Cat: Match)"
Anton Neumayr,,Person,[Validation] 奥地利艺术评论家。,Q94896724,Anton Neumayr,German physician,"High Confidence - Score: 130.0 (Sim: 1.00, Cat: Match)"
Anton Raphael Mengs,Q76718,Person,[Validation] 新古典主义画家。 | 德国新古典主义画家。,Q76718,Anton Raphael Mengs,"German-Bohemian painter active in Dresden, Rome and Madrid (1728-1779)","High Confidence - Score: 130.0 (Sim: 1.00, Cat: Match)"
Antonello da Messina,Q5594,Person,[Validation] 文艺复兴画家。,Q5594,Antonello da Messina,Italian Renaissance painter (1430–1479),"High Confidence - Score: 130.0 (Sim: 1.00, Cat: Match)"
Antonia Spadafora,Q108935752,Person,[Validation] 西西里贵族。,Q108935752,Antonia Spadafora,- 25 Sep 1619,"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Antonino Bertolotti,Q5574490,Person,[Validation] 档案学家 (罗马艺术史资料)。,Q5574490,Antonino Bertolotti,"Italian archivist, scholar and writer (1834-1893)","High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
"Antonino Maresca, Duca di Serracapriola",,Person,"[OCR Fix] ""Serracapmula"" -> ""Serracapriola""。那不勒斯外交官。",,,,No results found
Antonino Santangelo,Q124986217,Person,[Validation] 艺术史学家。,Q124986217,Antonino Santangelo,Italian art historian (1904-1965),"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Antonio Abbondi (Scarpagnino),,Person,[Validation] 建筑师。,,,,No results found
Antonio Baldinucci,,Person,[Disambiguation] 圣安东尼奥·巴尔迪努齐。,Q647434,Anthony Baldinucci,Jesuit missionary,"Medium Confidence - Score: 88.9 (Sim: 0.89, Cat: Neutral)"
Antonio Balestra,Q386500,Person,[Validation] 维罗纳画家。,Q386500,Antonio Balestra,Italian painter (1666-1740),"High Confidence - Score: 130.0 (Sim: 1.00, Cat: Match)"
