Refined_Formal_Name,QID,Refined_Category,Status/Notes
Art exhibitions,,Event,[Validation] 概念/事件。
Art patronage in 17th-century Munich,,Concept,[Category Fix] 艺术赞助研究主题。
Arte dei Salumieri,,Group,[Category Fix] 威尼斯行会（咸肉商）。
Artemisia Gentileschi,Q212657,Person,[Validation] 画家。
Artist's position in society (Concept),,Concept,[Validation] 艺术理论议题。
Artistic temperament (Concept),,Concept,[Validation] 艺术理论概念。
Arts Graphiques de la Cité (AGRACI),,Organization,[Validation] 巴黎摄影/出版机构。
Arturo Jahn Rusconi,Q93429126,Person,[Validation] 艺术史学家。
Ascanio Filomarino,Q2556618,Person,[Disambiguation] 那不勒斯大主教。 | [Validation] 那不勒斯枢机主教。
Ascanius Shooting the Stag of Sylvia,Q4803790,Work,[Validation] 克劳德·洛兰画作。
Asclepius,Q83223,Person (Myth),[Validation] 医神。
Ascoli Piceno,Q6624,Place,[Validation] 城市。
Ashmolean Museum,Q636400,Place,[Validation] 牛津博物馆。
Assumption of the Virgin,Q117379114,Work,[Validation] 绘画主题。
Asti,Q6122,Place,[Validation] 城市。
Attila the Hun,,Person,[Validation] 匈人王 (出现在拉斐尔壁画中)。
Augustin Lehmann,Q2871607,Person,[Validation] 人物 (可能指 19世纪法国画家 Augustin Lehmann 或 Henri Lehmann)。
Augustinian Monastery Altarpiece,A305,Work,[Validation] 祭坛画。
Augustinian church,G111,Place,[Validation] 教堂类型/地点。
Augustinian convent,Q3001664,Place,[Validation] 修道院。
Augusto Bazzoni,Q43256028,Person,[Validation] 历史学家 (威尼斯档案)。
Augusto Pierantoni,Q769588,Person,[Validation] 法学家/政治家。
Augustus,,Person,[Disambiguation] 罗马皇帝奥古斯都。
Augustus II the Strong,Q53437,Person,[Disambiguation] 奥古斯都二世。 | [Validation] 萨克森选帝侯/波兰国王。
Augustus III of Poland,Q53438,Person,[Validation] 同上。 | [Validation] 奥古斯都三世。
Aurelio Gotti,Q16529961,Person,[Validation] 19世纪艺术作家 (Uffizi画廊)。
Aurelio Lepre,Q16262732,Person,[Validation] 历史学家 (20世纪)。
Aurelio Rezzonico,R20,Person,[Validation] 威尼斯贵族 (教皇克莱门特十三世家族)。
Aurora,Q108741948,Person (Myth)/Work,[Validation] 黎明女神或Guercino壁画。
Austrian National Library,Q304037,Place,[Validation] 奥地利国家图书馆。
Avignon,Q6397,Place,[Validation] 城市。
Avviso,G131,Work,"[Category Fix] ""Avviso"" 是新闻简报/公报 (Dispatch)，原文误标为 Place。"
Azzo d'Este (Marquis),,Person,[Category Fix] 原文误标为 Work。
Babylon,A37,Place,[Validation] 地名。
Bacchanal,Q29384647,Work,[Validation] 绘画主题 (提香/普桑)。
Bacchanalia,A39,Event/Work,[Validation] 节日/绘画主题。
Bacchus,A38,Person (Myth),[Validation] 酒神。
Bacchus and Ariadne,A40,Work,[Validation] 提香画作。
Baccio Bandinelli,Q358348,Person,[Validation] 佛罗伦萨雕塑家。
Baccio Ciarpi,Q5608903,Person,[Validation] 托斯卡纳画家 (科尔托纳的老师)。
Badminton House from Badminton Park,Q40453567,Work,[Validation] 卡纳莱托画作 (View)。
Baglioni Chapel,Q3657320,Place,[Validation] 佩鲁贾教堂礼拜堂 (拉斐尔祭坛画原址)。
Baglioni Collection,,Organization/Group,[Validation] 艺术收藏。
Bagnoli,Q799950,Place,[Validation] 地名 (那不勒斯附近或帕多瓦附近)。
Baldassare Franceschini (Il Volterrano),,Person,[Category Fix] 原文误标为 Place。画家。
Baldassare Longhena,,Person,[Disambiguation] 建筑师。 | [Validation] 建筑师。
Balthasar Neumann,,Person,[Validation] 德国巴洛克建筑师。 | 德国巴洛克建筑师。
Balthasar Permoser,Q494782,Person,[Validation] 巴洛克雕塑家。
Balthasar de Monconys,Q2262911,Person,[Validation] 法国旅行家/日记作者。
Bamboccianti,,Group,[Validation] 罗马风俗画家群体。
Bandinello Sauli,Q2259012,Person,[Validation] 枢机主教。
Banque de France,,Organization,[Validation] 机构。
"Banqueting House, Whitehall",,Place,[Validation] 伦敦建筑 (鲁本斯天顶画)。
Barak before Deborah,Q50986222,Work,[Validation] 绘画主题 (Luca Giordano等)。
Barbara Mazza,Q124847240,Person,[Validation] 人物。
Barber Institute of Fine Arts,Q4859590,Organization,[Validation] 伯明翰艺术博物馆。
Barberini (Family),,Group,[Validation] 罗马显赫家族。
Barberini Chapel (Sant'Andrea della Valle),,Place,[OCR Fix] 标点和空格修复。 | [Validation] 罗马礼拜堂。
Barberini Library,,Organization,[Validation] 巴贝里尼图书馆。
Barnabites,Q620456,Group,[Category Fix] 原文误标为 Place。巴拿巴会 (修会)。
Barnabotti,,Group,[Validation] 威尼斯贫穷贵族阶层。
Bartolomeo Bassante,Q809486,Person,[Validation] 那不勒斯画家。
Bartolomeo Letterini,Q4865512,Person,[Reconstruction] 威尼斯画家。 | [Validation] 威尼斯画家。
Bartolomeo Montagna,Q809507,Person,[Validation] 维琴察画家。
Bartolomeo Nazari,Q465240,Person,[Validation] 威尼斯肖像画家。 | 威尼斯肖像画家。
Bartolomeo Passante,,Person,那不勒斯画家。
Bartolomeo Schedoni,Q629419,Person,[Validation] 帕尔马画家。 | 帕尔马画家。
Bartolomeo Vivarini,Q456971,Person,[Validation] 威尼斯画家。
Basilica della Santa Casa,,Place,洛雷托圣家大殿。
Basilica di Sant'Andrea (Mantua),,Place,[Validation] 曼图亚教堂 (Alberti设计)。
Basilica di Sant'Antonino (Sorrento/Piacenza),,Place,[Validation] 教堂。
Basilica di Santa Maria Maggiore,Q186282,Place,[Validation] 罗马圣母大殿。
Basilica di Santa Maria dei Servi,,Place,博洛尼亚或锡耶纳教堂。
Basilica of Saint Anthony of Padua,,Place,[Validation] 帕多瓦圣安东尼大殿 (Il Santo)。
Basilica of Saint Francis (Assisi),,Place,[Validation] 阿西西圣方济各圣殿。
Basilica of Saint Paul Outside the Walls,Q231699,Place,[Validation] 罗马城外圣保禄大殿。
Basilica of Saints John and Paul,,Place,[Validation] 罗马 Santi Giovanni e Paolo。
Basilica of San Clemente,Q385910,Place,[Validation] 罗马教堂。
Basilica of San Lorenzo (Florence),,Place,[Validation] 佛罗伦萨教堂。
Basilica of San Vitale (Ravenna/Rome),,Place,[Validation] 教堂。
Basilica of Santa Croce (Florence),,Place,[Validation] 佛罗伦萨教堂。
Basilica of Santa Maria Novella,Q51175,Place,[Validation] 佛罗伦萨教堂。
Basilica of Santa Sabina,,Place,[Validation] 罗马教堂。
Basilica of the Holy Trinity,Q1062114,Place,[Validation] 教堂 (可能是 SS. Trinità)。
Basilicas,G112,Place,[Validation] 建筑类型。
Bathsheba,Q272277,Person,[Validation] 圣经人物。
Bathsheba Bathing,,Work,"[OCR Fix] 修正 ""Batlisheba"" 为 ""Bathsheba""。"
Batteria di Cucina,,Work,"[OCR Fix] 修正 ""Battaria"" 为 ""Batteria"" (Kitchen utensils/Still life)。"
Battistella,,Person,[Category Fix] 原文误标为 Place。疑似人名 (Antonio Battistella)。
Battistello Caracciolo,,Person,[Disambiguation] 那不勒斯画家。
Battle of White Mountain,,Event,白山战役。
Bavarian State Painting Collections (Bayerische Staatsgemäldesammlungen),,Organization,[Validation] 德国博物馆机构。
Beccari (Dr.),,Person,[Validation] 可能是 Jacopo Bartolomeo Beccari (博洛尼亚科学院)。
Beggar holding a Rosary,A45,Work,[Validation] 画作主题 (可能是Ceruti或Il Pitocchetto)。
Bell Towers for St. Peter's Basilica,,Work,[Validation] 贝尼尼设计的钟楼 (已拆除)。
Belvoir Castle,Q816295,Place,[Validation] 英国城堡。
Benedetto Croce,Q192348,Person,[Validation] 哲学家 (后世引用)。
Benedetto Gennari II,,Person,[Disambiguation] 盖尔奇诺的外甥。
Benedetto Giustiniani,,Person,[Validation] 枢机主教 (Caravaggio 赞助人)。
Benedetto Luti,Q816847,Person,[Validation] 罗马画家。
Benedetto Menzini,Q3638090,Person,[Validation] 诗人。
Benedict Nicolson,Q320152,Person,[Validation] 艺术史学家。
Benedictines,Q131132,Group,[Validation] 本笃会。
Benjamin Styles,,Person,英国南海公司董事，Moor Park 主人。
Benoît Audran the Elder,,Person,"[Disambiguation] 法国版画家。 | [OCR Fix] 修正 ""?"" 为 ""î""。"
Bensberg Castle,,Place,"[OCR Fix] 修正 ""Bensburg"" 为 ""Bensberg"" (Schloss Bensberg)。"
Bentvueghels,Q514377,Group,[Category Fix] 原文误标为 Place。北方画家在罗马的社团。
Benvenuto Cellini,Q190116,Person,[Validation] 雕塑家/金匠。
Beretta,Q324782,Person,[Category Fix] 原文误标为 Place。可能是 Carlo Beretta (雕塑家) 或 generic surname。
Bergamasque Community,,Group,[Category Fix] 原文误标为 Place。贝加莫人群体。
Bergamo Cathedral,Q1081902,Place,[Validation] 贝加莫大教堂。
Berlinghiero Gessi,Q2897287,Person,[Validation] 枢机主教。
Bernard Aikema,Q62415539,Person,[Validation] 艺术史学家。
Bernard Le Bovier de Fontenelle,Q310309,Person,[Disambiguation] 法国作家。 | [Validation] 作家。
Bernard Picart,Q559929,Person,[Validation] 版画家。
Bernardino Baccinelli,,Person,[Disambiguation] 嘉布遣会修士/总主教。
Bernardino Castelli,Q3638702,Person,[Validation] 威尼斯肖像画家。
Bernardino Feliciangeli,Q3638707,Person,[Validation] 历史学家。
Bernardino Gagliardi,Q4893845,Person,[Validation] 画家。
Bernardino Lorca,,Person,[Check Original] 可能是西班牙人。
Bernardino Mei,Q472391,Person,[Validation] 锡耶纳画家。
Bernardino Spada,,Person,红衣主教（Spada 宫主人）。
Bernardo Bellotto,Q164688,Person,[Validation] 维杜塔画家。
Bernardo Bizoni,Q103980500,Person,[Validation] 17世纪旅行日记作者 (Giustiniani随从)。
Bernardo Cavallino,Q822982,Person,[Validation] 那不勒斯画家。
Bernardo De Dominici,,Person,[Reconstruction] 那不勒斯传记作家。 | [Validation] 那不勒斯艺术传记作家。
Bernardo Sansone Sgrilli,Q55915804,Person,[Validation] 建筑师/版画家。
Bernardo Strozzi,Q437724,Person,[Validation] 热那亚画家。
Bernhard Rode,Q465314,Person,[Validation] 德国画家。
Biblioteca Ambrosiana,Q815611,Place,[Validation] 米兰安布罗修图书馆。
Biblioteca Casanatense,Q2901274,Place,[Validation] 罗马图书馆。
Biblioteca Civica di Padova,Q21328933,Place,[Validation] 帕多瓦图书馆。
Biblioteca Comunale Ariostea,,Place,[Validation] 费拉拉图书馆。
Biblioteca Comunale Augusta,,Place,[Validation] 佩鲁贾图书馆。
Biblioteca Comunale dell'Archiginnasio,,Place,[Validation] 博洛尼亚图书馆。
Biblioteca Comunale di Imola,,Place,[Validation] 图书馆。
Biblioteca Estense,Q1219443,Place,"[OCR Fix] ""Biblioceca"" -> ""Biblioteca""。 | [Validation] 摩德纳图书馆。"
Biblioteca Governativa,,Place,"[OCR Fix] ""Govemadva"" -> ""Governativa"" (可能是克雷莫纳或卢卡的)。"
Biblioteca Marucelliana,Q741371,Place,[Validation] 佛罗伦萨图书馆。
Biblioteca Medicea Laurenziana,Q856419,Place,[Validation] 佛罗伦萨劳伦佐图书馆。
Biblioteca Nazionale Centrale di Firenze,,Organization,[Category Fix] 佛罗伦萨国立中央图书馆。
Biblioteca Nazionale Marciana,Q578460,Place,[Validation] 威尼斯圣马可图书馆。 | 威尼斯马尔恰纳图书馆。
Biblioteca Statale di Cremona,,Place,[Validation] 图书馆。
Biblioteca Vallicelliana,Q2901320,Place,[Validation] 罗马图书馆。
Biblioteca del Museo Correr,,Place,[Category Fix] 博物馆图书馆。 | [Validation] 威尼斯图书馆。
Bibliothèque Mazarine,Q774570,Place,[Validation] 巴黎马萨林图书馆。
Bibliothèque de Montpellier,,Place,
Birmingham Museum and Art Gallery,Q1799857,Place,[Validation] 博物馆。
Biscay,,Place,西班牙比斯开省。
Bishop Harold von Hocheim Investiture,,Work,[Validation] 提埃坡罗壁画 (维尔茨堡)。
Bologna,,Place,[Validation] 城市。
Bonfiglioli Collection,,Organization/Group,[Validation] 博洛尼亚艺术收藏。
Bonifazio Gozzadini,Q124754142,Person,[Validation] 历史人物。
Bonisezio Gozzadini,,Person,[Validation] 博洛尼亚历史人物。
Bonomo Algarotti,,Person,[Reconstruction] 名字倒装复原。Francesco Algarotti 的父亲。
Book illustration,,Concept,[Validation] 艺术形式。
Borgo Santo Spirito,Q105773285,Place,[Validation] 罗马街道。
Bowes Museum,Q895434,Place,[Validation] 英国博物馆。
"Boyle, Locke, and Sydenham",,Group,[Validation] 英国科学家/医生群体 (作为半身像或画像组合)。
Bracciano,Q241791,Place,[Validation] 地名 (Orsini领地)。
Bramantino,Q7799,Person,[Validation] 米兰画家。
Brenta River,,Place,[Validation] 河流 (威尼斯别墅区)。
Brera,Q426609,Place,[Validation] 米兰布雷拉区/美术馆。
British Isles,Q38272,Place,[Validation] 地理区域。
British Museum,Q6373,Place,[Validation] 大英博物馆。
Bruce Boucher,Q83135337,Person,[Validation] 艺术史学家。
Bruno Brunelli,Q59524453,Person,[Validation] 历史学家 (威尼斯剧院史)。
Bruno Talbot,Q114913443,Person,[Check Original] 极罕见。可能指 17世纪英国人 (Talbot family) 或误拼。待定。
Brutus killing Arruns,A47,Work,[Validation] 绘画主题。
Buckingham Palace,Q42182,Place,[Validation] 伦敦宫殿。
Buen Retiro Palace,Q962117,Place,[Validation] 马德里宫殿。
Bulstrode Park,Q4997155,Place,[Validation] 英国庄园 (Portland公爵)。
Burghley House,Q1015079,Place,[Validation] 英国庄园。
Burgundy,Q1173,Place,[Validation] 地名。
Bust of Carlo Antonio del Pozzo,Q5002065,Work,[Validation] 雕塑。
Bust of Democritus,A48,Work,[Validation] 雕塑主题。
Bust of Epicurus,Q125809381,Work,[Validation] 雕塑主题。
Bust of Francis Bacon,A49,Work,[Validation] 雕塑 (Roubiliac等)。
Bust of Louis XIV,Q2928781,Work,[Validation] 雕塑 (贝尼尼)。
Bust of Paolo Renier,A50,Work,[Validation] 雕塑。
Bust of Phocion,A420,Work,[Validation] 雕塑主题。
Bust of Thomas Baker,Q5002075,Work,[Validation] 雕塑 (贝尼尼)。
C. H. Collins Baker,,Person,[Validation] 艺术史学家。
Ca' Foscari,G29,Place,[Validation] 威尼斯宫殿/大学。 | 威尼斯宫殿。
Ca' Foscari University of Venice,Q1546906,Organization,[Validation] 大学。
Ca' Pesaro,Q756807,Place,[Validation] 威尼斯宫殿/博物馆。 | 威尼斯佩萨罗宫（现为现代艺术博物馆）。
Ca' Rezzonico,Q1052171,Place,[Validation] 威尼斯宫殿/博物馆。
Ca' Sagredo,Q3649088,Place,[Validation] 威尼斯宫殿。
Ca' Vendramin Calergi,Q1265593,Place,[Validation] 威尼斯宫殿 (Wagner Museum/Casino)。
Caesar Baronius,Q317900,Person,[Disambiguation] 凯撒·巴罗尼乌斯枢机 (教会史学家)。 | [Validation] 枢机/历史学家。
Caesar Giving Cleopatra the Throne of Egypt,Q17175813,Work,[Validation] 绘画主题 (Pietro da Cortona)。
Caesar and the Corsairs of Cilicia,A52,Work,[Validation] 绘画主题。
Caime (Artist/Person),,Person,"[Check Original] 可能是 ""Caimi"" (Antonio Caimi, 艺术史家) 或误拼。"
Cain and Abel,A53,Work,[Validation] 绘画主题 (提香/Tintoretto等)。
Cambridgeshire,Q23112,Place,[Validation] 地名。
Camille Delivers the Schoolmaster of Falerii to His Pupils,Q18572435,Work,[Validation] 普桑画作。
Camillo Astalli,Q2935133,Person,[Disambiguation] 卡米洛·阿斯塔利枢机。 | [Validation] 枢机主教。 | 曾被 Pamphilj 家族收养的红衣主教 (Cardinal-Nephew)。
Camillo Carandini,,Person,[Validation] 贵族。
Camillo Francesco Maria Pamphili,Q2935138,Person,[Validation] 枢机/亲王。
Camillo Gavassetti,R22,Person,[Reconstruction] 莫德纳画家。 | [Validation] 莫德纳画家。
Camillo Massimi,,Person,可能是指早期的马西米家族成员。
Camillo Pamphilj,,Person,"[OCR/Confusion] 极可能是 ""Pamfili, Montalto"" 的混淆或 ""Camillo Pamphilj"" 的误读。 | 英诺森十世的侄子，放弃枢机职位结婚。"
Camillo Rospigliosi,Q43288825,Person,[Validation] 贵族 (Rospigliosi家族)。
Campagna (Countryside) / Girolamo Campagna,,Place/Person,"[Ambiguity] ""Campagna"" 通常指罗马郊区 (Roman Campagna)，但也可能是威尼斯雕塑家 Girolamo Campagna。需视上下文。若在 Place 列，则为地名。"
Campania,Q1438,Place,[Validation] 意大利大区。
Campo Marzio,Q1031426,Place,[Validation] 罗马区域 (Campus Martius)。
Campo Santa Maria Formosa,,Place,威尼斯广场。
Campo Santa Sofia,Q56514108,Place,[Validation] 威尼斯广场。
Campo di Rialto,G17,Place,[Validation] 威尼斯广场。
Camposanto,,Place,[Validation] 墓地。
Canaletto,,Person,[Validation] 著名画家。
Canaletto (Antonio Canal),,Person,[Disambiguation] 卡纳莱托。
Candiani (Family/Artist),,Person,[Context] 可能是 Giuseppe Candiani (画家) 或家族。
Cannaregio,Q52423,Place,[Validation] 威尼斯区域。
Cannons (House),,Place,"[OCR Fix] ""Canons"" -> ""Cannons"" (Chandos公爵的豪宅)。"
Canons Ashby House,Q5033399,Place,[Validation] 英国庄园。
Canossa,Q111144,Place,[Validation] 地名 (Matilda of Tuscany)。
Capitol Records,Q193023,Organization/Place,"[Context] 现代唱片公司 (可能是现代索引混入或 OCR 错误识别 ""Capitol"" 罗马相关词条)。若是古代背景，则是错误。若是现代引用，保留。建议检查是否为 ""Capitol (Rome)"" 的误读。倾向于 OCR 错误，但暂保留。"
Capitoline Museums,Q333906,Place,[Validation] 罗马博物馆。
Cappella Colleoni,Q1034843,Place,[Validation] 贝加莫礼拜堂。
