Refined_Formal_Name,Refined_Category,Status/Notes
Badminton House from Badminton Park,Work,[Validation] 卡纳莱托画作 (View)。
Baglioni Chapel,Place,[Validation] 佩鲁贾教堂礼拜堂 (拉斐尔祭坛画原址)。
Baglioni Collection,Organization/Group,[Validation] 艺术收藏。
Bagnoli,Place,[Validation] 地名 (那不勒斯附近或帕多瓦附近)。
Baldassare Franceschini (Il Volterrano),Person,[Category Fix] 原文误标为 Place。画家。
Baldassare Longhena,Person,[Disambiguation] 建筑师。 | [Validation] 建筑师。
Balthasar Neumann,Person,[Validation] 德国巴洛克建筑师。 | 德国巴洛克建筑师。
Balthasar Permoser,Person,[Validation] 巴洛克雕塑家。
Balthasar de Monconys,Person,[Validation] 法国旅行家/日记作者。
Bamboccianti,Group,[Validation] 罗马风俗画家群体。
Bandinello Sauli,Person,[Validation] 枢机主教。
Banque de France,Organization,[Validation] 机构。
"Banqueting House, Whitehall",Place,[Validation] 伦敦建筑 (鲁本斯天顶画)。
Barak before Deborah,Work,[Validation] 绘画主题 (Luca Giordano等)。
Barbara Mazza,Person,[Validation] 人物。
Barber Institute of Fine Arts,Organization,[Validation] 伯明翰艺术博物馆。
Barberini (Family),Group,[Validation] 罗马显赫家族。
Barberini Chapel (Sant'Andrea della Valle),Place,[OCR Fix] 标点和空格修复。 | [Validation] 罗马礼拜堂。
Barberini Library,Organization,[Validation] 巴贝里尼图书馆。
Barnabites,Group,[Category Fix] 原文误标为 Place。巴拿巴会 (修会)。
Barnabotti,Group,[Validation] 威尼斯贫穷贵族阶层。
Bartolomeo Bassante,Person,[Validation] 那不勒斯画家。
Bartolomeo Letterini,Person,[Reconstruction] 威尼斯画家。 | [Validation] 威尼斯画家。
Bartolomeo Montagna,Person,[Validation] 维琴察画家。
Bartolomeo Nazari,Person,[Validation] 威尼斯肖像画家。 | 威尼斯肖像画家。
Bartolomeo Passante,Person,那不勒斯画家。
Bartolomeo Schedoni,Person,[Validation] 帕尔马画家。 | 帕尔马画家。
Bartolomeo Vivarini,Person,[Validation] 威尼斯画家。
Basilica della Santa Casa,Place,洛雷托圣家大殿。
Basilica di Sant'Andrea (Mantua),Place,[Validation] 曼图亚教堂 (Alberti设计)。
Basilica di Sant'Antonino (Sorrento/Piacenza),Place,[Validation] 教堂。
Basilica di Santa Maria Maggiore,Place,[Validation] 罗马圣母大殿。
Basilica di Santa Maria dei Servi,Place,博洛尼亚或锡耶纳教堂。
Basilica of Saint Anthony of Padua,Place,[Validation] 帕多瓦圣安东尼大殿 (Il Santo)。
Basilica of Saint Francis (Assisi),Place,[Validation] 阿西西圣方济各圣殿。
Basilica of Saint Paul Outside the Walls,Place,[Validation] 罗马城外圣保禄大殿。
Basilica of Saints John and Paul,Place,[Validation] 罗马 Santi Giovanni e Paolo。
Basilica of San Clemente,Place,[Validation] 罗马教堂。
Basilica of San Lorenzo (Florence),Place,[Validation] 佛罗伦萨教堂。
Basilica of San Vitale (Ravenna/Rome),Place,[Validation] 教堂。
Basilica of Santa Croce (Florence),Place,[Validation] 佛罗伦萨教堂。
Basilica of Santa Maria Novella,Place,[Validation] 佛罗伦萨教堂。
Basilica of Santa Sabina,Place,[Validation] 罗马教堂。
Basilica of the Holy Trinity,Place,[Validation] 教堂 (可能是 SS. Trinità)。
Basilicas,Place,[Validation] 建筑类型。
Bathsheba,Person,[Validation] 圣经人物。
Bathsheba Bathing,Work,"[OCR Fix] 修正 ""Batlisheba"" 为 ""Bathsheba""。"
Batteria di Cucina,Work,"[OCR Fix] 修正 ""Battaria"" 为 ""Batteria"" (Kitchen utensils/Still life)。"
Battistella,Person,[Category Fix] 原文误标为 Place。疑似人名 (Antonio Battistella)。
Battistello Caracciolo,Person,[Disambiguation] 那不勒斯画家。
Battle of White Mountain,Event,白山战役。
Bavarian State Painting Collections (Bayerische Staatsgemäldesammlungen),Organization,[Validation] 德国博物馆机构。
Beccari (Dr.),Person,[Validation] 可能是 Jacopo Bartolomeo Beccari (博洛尼亚科学院)。
Beggar holding a Rosary,Work,[Validation] 画作主题 (可能是Ceruti或Il Pitocchetto)。
Bell Towers for St. Peter's Basilica,Work,[Validation] 贝尼尼设计的钟楼 (已拆除)。
Belvoir Castle,Place,[Validation] 英国城堡。
Benedetto Croce,Person,[Validation] 哲学家 (后世引用)。
Benedetto Gennari II,Person,[Disambiguation] 盖尔奇诺的外甥。
Benedetto Giustiniani,Person,[Validation] 枢机主教 (Caravaggio 赞助人)。
Benedetto Luti,Person,[Validation] 罗马画家。
Benedetto Menzini,Person,[Validation] 诗人。
Benedict Nicolson,Person,[Validation] 艺术史学家。
Benedictines,Group,[Validation] 本笃会。
Benjamin Styles,Person,英国南海公司董事，Moor Park 主人。
Benoît Audran the Elder,Person,"[Disambiguation] 法国版画家。 | [OCR Fix] 修正 ""?"" 为 ""î""。"
Bensberg Castle,Place,"[OCR Fix] 修正 ""Bensburg"" 为 ""Bensberg"" (Schloss Bensberg)。"
Bentvueghels,Group,[Category Fix] 原文误标为 Place。北方画家在罗马的社团。
Benvenuto Cellini,Person,[Validation] 雕塑家/金匠。
Beretta,Person,[Category Fix] 原文误标为 Place。可能是 Carlo Beretta (雕塑家) 或 generic surname。
Bergamasque Community,Group,[Category Fix] 原文误标为 Place。贝加莫人群体。
Bergamo Cathedral,Place,[Validation] 贝加莫大教堂。
Berlinghiero Gessi,Person,[Validation] 枢机主教。
Bernard Aikema,Person,[Validation] 艺术史学家。
Bernard Le Bovier de Fontenelle,Person,[Disambiguation] 法国作家。 | [Validation] 作家。
Bernard Picart,Person,[Validation] 版画家。
Bernardino Baccinelli,Person,[Disambiguation] 嘉布遣会修士/总主教。
Bernardino Castelli,Person,[Validation] 威尼斯肖像画家。
Bernardino Feliciangeli,Person,[Validation] 历史学家。
Bernardino Gagliardi,Person,[Validation] 画家。
Bernardino Lorca,Person,[Check Original] 可能是西班牙人。
Bernardino Mei,Person,[Validation] 锡耶纳画家。
Bernardino Spada,Person,红衣主教（Spada 宫主人）。
Bernardo Bellotto,Person,[Validation] 维杜塔画家。
Bernardo Bizoni,Person,[Validation] 17世纪旅行日记作者 (Giustiniani随从)。
Bernardo Cavallino,Person,[Validation] 那不勒斯画家。
Bernardo De Dominici,Person,[Reconstruction] 那不勒斯传记作家。 | [Validation] 那不勒斯艺术传记作家。
Bernardo Sansone Sgrilli,Person,[Validation] 建筑师/版画家。
Bernardo Strozzi,Person,[Validation] 热那亚画家。
Bernhard Rode,Person,[Validation] 德国画家。
Biblioteca Ambrosiana,Place,[Validation] 米兰安布罗修图书馆。
Biblioteca Casanatense,Place,[Validation] 罗马图书馆。
Biblioteca Civica di Padova,Place,[Validation] 帕多瓦图书馆。
Biblioteca Comunale Ariostea,Place,[Validation] 费拉拉图书馆。
Biblioteca Comunale Augusta,Place,[Validation] 佩鲁贾图书馆。
Biblioteca Comunale dell'Archiginnasio,Place,[Validation] 博洛尼亚图书馆。
Biblioteca Comunale di Imola,Place,[Validation] 图书馆。
Biblioteca Estense,Place,"[OCR Fix] ""Biblioceca"" -> ""Biblioteca""。 | [Validation] 摩德纳图书馆。"
Biblioteca Governativa,Place,"[OCR Fix] ""Govemadva"" -> ""Governativa"" (可能是克雷莫纳或卢卡的)。"
Biblioteca Marucelliana,Place,[Validation] 佛罗伦萨图书馆。
Biblioteca Medicea Laurenziana,Place,[Validation] 佛罗伦萨劳伦佐图书馆。
Biblioteca Nazionale Centrale di Firenze,Organization,[Category Fix] 佛罗伦萨国立中央图书馆。
Biblioteca Nazionale Marciana,Place,[Validation] 威尼斯圣马可图书馆。 | 威尼斯马尔恰纳图书馆。
Biblioteca Statale di Cremona,Place,[Validation] 图书馆。
Biblioteca Vallicelliana,Place,[Validation] 罗马图书馆。
Biblioteca del Museo Correr,Place,[Category Fix] 博物馆图书馆。 | [Validation] 威尼斯图书馆。
Bibliothèque Mazarine,Place,[Validation] 巴黎马萨林图书馆。
Bibliothèque de Montpellier,Place,
Birmingham Museum and Art Gallery,Place,[Validation] 博物馆。
Biscay,Place,西班牙比斯开省。
Bishop Harold von Hocheim Investiture,Work,[Validation] 提埃坡罗壁画 (维尔茨堡)。
Bologna,Place,[Validation] 城市。
Bonfiglioli Collection,Organization/Group,[Validation] 博洛尼亚艺术收藏。
Bonifazio Gozzadini,Person,[Validation] 历史人物。
Bonisezio Gozzadini,Person,[Validation] 博洛尼亚历史人物。
Bonomo Algarotti,Person,[Reconstruction] 名字倒装复原。Francesco Algarotti 的父亲。
Book illustration,Concept,[Validation] 艺术形式。
Borgo Santo Spirito,Place,[Validation] 罗马街道。
Bowes Museum,Place,[Validation] 英国博物馆。
"Boyle, Locke, and Sydenham",Group,[Validation] 英国科学家/医生群体 (作为半身像或画像组合)。
Bracciano,Place,[Validation] 地名 (Orsini领地)。
Bramantino,Person,[Validation] 米兰画家。
Brenta River,Place,[Validation] 河流 (威尼斯别墅区)。
Brera,Place,[Validation] 米兰布雷拉区/美术馆。
British Isles,Place,[Validation] 地理区域。
British Museum,Place,[Validation] 大英博物馆。
Bruce Boucher,Person,[Validation] 艺术史学家。
Bruno Brunelli,Person,[Validation] 历史学家 (威尼斯剧院史)。
Bruno Talbot,Person,[Check Original] 极罕见。可能指 17世纪英国人 (Talbot family) 或误拼。待定。
Brutus killing Arruns,Work,[Validation] 绘画主题。
Buckingham Palace,Place,[Validation] 伦敦宫殿。
Buen Retiro Palace,Place,[Validation] 马德里宫殿。
Bulstrode Park,Place,[Validation] 英国庄园 (Portland公爵)。
Burghley House,Place,[Validation] 英国庄园。
Burgundy,Place,[Validation] 地名。
Bust of Carlo Antonio del Pozzo,Work,[Validation] 雕塑。
Bust of Democritus,Work,[Validation] 雕塑主题。
Bust of Epicurus,Work,[Validation] 雕塑主题。
Bust of Francis Bacon,Work,[Validation] 雕塑 (Roubiliac等)。
Bust of Louis XIV,Work,[Validation] 雕塑 (贝尼尼)。
Bust of Paolo Renier,Work,[Validation] 雕塑。
Bust of Phocion,Work,[Validation] 雕塑主题。
Bust of Thomas Baker,Work,[Validation] 雕塑 (贝尼尼)。
C. H. Collins Baker,Person,[Validation] 艺术史学家。
Ca' Foscari,Place,[Validation] 威尼斯宫殿/大学。 | 威尼斯宫殿。
Ca' Foscari University of Venice,Organization,[Validation] 大学。
Ca' Pesaro,Place,[Validation] 威尼斯宫殿/博物馆。 | 威尼斯佩萨罗宫（现为现代艺术博物馆）。
Ca' Rezzonico,Place,[Validation] 威尼斯宫殿/博物馆。
Ca' Sagredo,Place,[Validation] 威尼斯宫殿。
Ca' Vendramin Calergi,Place,[Validation] 威尼斯宫殿 (Wagner Museum/Casino)。
Caesar Baronius,Person,[Disambiguation] 凯撒·巴罗尼乌斯枢机 (教会史学家)。 | [Validation] 枢机/历史学家。
Caesar Giving Cleopatra the Throne of Egypt,Work,[Validation] 绘画主题 (Pietro da Cortona)。
Caesar and the Corsairs of Cilicia,Work,[Validation] 绘画主题。
Caime (Artist/Person),Person,"[Check Original] 可能是 ""Caimi"" (Antonio Caimi, 艺术史家) 或误拼。"
Cain and Abel,Work,[Validation] 绘画主题 (提香/Tintoretto等)。
Cambridgeshire,Place,[Validation] 地名。
Camille Delivers the Schoolmaster of Falerii to His Pupils,Work,[Validation] 普桑画作。
Camillo Astalli,Person,[Disambiguation] 卡米洛·阿斯塔利枢机。 | [Validation] 枢机主教。 | 曾被 Pamphilj 家族收养的红衣主教 (Cardinal-Nephew)。
Camillo Carandini,Person,[Validation] 贵族。
Camillo Francesco Maria Pamphili,Person,[Validation] 枢机/亲王。
Camillo Gavassetti,Person,[Reconstruction] 莫德纳画家。 | [Validation] 莫德纳画家。
Camillo Massimi,Person,可能是指早期的马西米家族成员。
Camillo Pamphilj,Person,"[OCR/Confusion] 极可能是 ""Pamfili, Montalto"" 的混淆或 ""Camillo Pamphilj"" 的误读。 | 英诺森十世的侄子，放弃枢机职位结婚。"
Camillo Rospigliosi,Person,[Validation] 贵族 (Rospigliosi家族)。
Campagna (Countryside) / Girolamo Campagna,Place/Person,"[Ambiguity] ""Campagna"" 通常指罗马郊区 (Roman Campagna)，但也可能是威尼斯雕塑家 Girolamo Campagna。需视上下文。若在 Place 列，则为地名。"
Campania,Place,[Validation] 意大利大区。
Campo Marzio,Place,[Validation] 罗马区域 (Campus Martius)。
Campo Santa Maria Formosa,Place,威尼斯广场。
Campo Santa Sofia,Place,[Validation] 威尼斯广场。
Campo di Rialto,Place,[Validation] 威尼斯广场。
Camposanto,Place,[Validation] 墓地。
Canaletto,Person,[Validation] 著名画家。
Canaletto (Antonio Canal),Person,[Disambiguation] 卡纳莱托。
Candiani (Family/Artist),Person,[Context] 可能是 Giuseppe Candiani (画家) 或家族。
Cannaregio,Place,[Validation] 威尼斯区域。
Cannons (House),Place,"[OCR Fix] ""Canons"" -> ""Cannons"" (Chandos公爵的豪宅)。"
Canons Ashby House,Place,[Validation] 英国庄园。
Canossa,Place,[Validation] 地名 (Matilda of Tuscany)。
Capitol Records,Organization/Place,"[Context] 现代唱片公司 (可能是现代索引混入或 OCR 错误识别 ""Capitol"" 罗马相关词条)。若是古代背景，则是错误。若是现代引用，保留。建议检查是否为 ""Capitol (Rome)"" 的误读。倾向于 OCR 错误，但暂保留。"
Capitoline Museums,Place,[Validation] 罗马博物馆。
Cappella Colleoni,Place,[Validation] 贝加莫礼拜堂。
Cappella della Purità,Place,[Validation]那不勒斯礼拜堂。
Capricci Copiosi di Figure,Work,"[OCR Fix] ""Caprizi"" -> ""Capricci""。"
Capuchins,Group,[Validation] 嘉布遣会。
Caravaggio,Person,[Disambiguation] 卡拉瓦乔。 | 卡拉瓦乔。
Carcassonne,Place,[Validation] 地名。
Cardinal Mazarin,Person,[Disambiguation] 马萨林枢机。
Cardinal Mazarin in His Gallery,Work,[Validation] 绘画主题。
Cardinal Richelieu,Person,[Disambiguation] 黎塞留枢机。 | 黎塞留枢机。
Caricature of Cassiano dal Pozzo,Work,[Validation] 绘画/素描。
Carinthia,Place,[Validation] 地名。
Carl Bildt,Person,[Context] 现代瑞典政治家 (可能出现在参考文献或赞助名单中)。
Carl Gustaf Tessin,Person,[Validation] 瑞典外交官/收藏家。 | 瑞典重要外交官与收藏家。
Carlantonio Pilati,Person,[Validation] 启蒙时代法学家/历史学家。
Carlo Ademollo,Person,[Validation] 19世纪画家。
Carlo Antonio Marin,Person,[Validation] 威尼斯历史学家。
Carlo Antonio Pilati,Person,启蒙法学家/历史学家。
Carlo Antonio Rambaldi,Person,[Validation] 博洛尼亚画家。
Carlo Antonio dal Pozzo,Person,[Validation] 卡西亚诺·达尔·波佐的弟弟/收藏家。
Carlo Baccinelli,Person,[Validation] 人物。
Carlo Barberini,Person,[Reconstruction] 乌尔班八世之兄。 | [Validation] 枢机主教。
Carlo Bricarelli,Person,[Validation] 建筑师/学者。
Carlo Camillo II Massimi,Person,著名的红衣主教与艺术赞助人（普桑、洛兰赞助者）。
Carlo Camillo II Massimo,Person,[Validation] 贵族。
Carlo Carlone,Person,[Validation] 画家。
Carlo Ceresa,Person,[Validation] 贝加莫肖像画家。
Carlo Cesare Malvasia,Person,[Validation] 博洛尼亚艺术传记作家 (Felsina Pittrice)。
Carlo Cignani,Person,[Validation] 博洛尼亚画家。
Carlo Cordellina,Person,[Validation] 威尼斯律师/别墅主人 (Villa Cordellina)。
Carlo Denina,Person,[Validation] 历史学家。
Carlo Dolci,Person,[Validation] 佛罗伦萨画家。
Carlo Emanuele Pio di Savoia,Person,红衣主教（Pio di Savoia家族）。
Carlo Fontana,Person,[Validation] 罗马建筑师。
Carlo Galassi Paluzzi,Person,[Validation] 罗马研究学者。
Carlo Giuseppe Ratti,Person,[Validation] 热那亚传记作家。
Carlo Goldoni,Person,[Validation] 剧作家。
Carlo Gozzi,Person,[Validation] 剧作家。
Carlo Grimaldi,Person,"[OCR Fix] ""Grimaldo"" -> ""Grimaldi"" (可能是乐器制造师或外交官)。"
Carlo Lodoli,Person,[Reconstruction] 建筑理论家。 | [Validation] 威尼斯建筑理论家。
Carlo M. Cipolla,Person,[Validation] 经济史学家。
Carlo Maderno,Person,[Validation] 罗马建筑师。
Carlo Maratta,Person,[Standardization] 画家 (也拼作 Maratti)。 | [Validation] 罗马画家。
Carlo Quarismini,Person,[Validation] 威尼斯画家 (较小众)。
Carlo Rainaldi,Person,[Validation] 罗马建筑师。
Carlo Ridolfi,Person,[Validation] 威尼斯画家/传记作家。
Carlo Roberto Dati,Person,[Validation] 佛罗伦萨学者。
Carlo Saraceni,Person,[Validation] 罗马画家。
Carlo Silva,Person,米兰画家或贵族。
Carlo de' Rossi,Person,艺术赞助人。
