Refined_Formal_Name,Original-QID,Second-Query_QID,Original-Refined_Category,Original-Status/Notes,Second-Query_Label,Second-Query_Description,Second-Query_Logic
Amico Ricci,Q3614269,Q3614269,Person,[Validation] 艺术史学家。,Amico Ricci,Italian art historian (1794–1862),"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Amor Vincit Omnia,Q474024,Q474024,Work,[Validation] 卡拉瓦乔画作。,Amor Vincit Omnia,painting by Caravaggio,"High Confidence - Score: 130.0 (Sim: 1.00, Cat: Match)"
Amsterdam,Q727,Q727,Place,[Validation] 地名。,Amsterdam,capital and most populous city of the Netherlands,"High Confidence - Score: 130.0 (Sim: 1.00, Cat: Match)"
Anatole de Montaiglon,Q2845613,Q2845613,Person,[Validation] 艺术史学家。,Anatole de Montaiglon,French librarian and historian (1824–1895),"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Andrea Brustolon,Q3615560,Q3615560,Person,[Validation] 威尼斯雕塑家。,Andrea Brustolon,Italian artist (1662-1732),"High Confidence - Score: 130.0 (Sim: 1.00, Cat: Match)"
Andrea Camassei,Q3615565,Q3615565,Person,[Validation] 巴洛克画家。,Andrea Camassei,Italian painter (1602-1649),"High Confidence - Score: 130.0 (Sim: 1.00, Cat: Match)"
Andrea Carlone,Q3106993,Q3106993,Person,[Validation] 热那亚画家。,Andrea Carlone,Italian painter (1639-1697),"High Confidence - Score: 130.0 (Sim: 1.00, Cat: Match)"
Andrea Celesti,Q1065524,Q1065524,Person,[Validation] 威尼斯画家。,Andrea Celesti,Italian painter (1637-1712),"High Confidence - Score: 130.0 (Sim: 1.00, Cat: Match)"
Andrea Doria,Q156521,Q108451660,Person,[Validation] 热那亚海军上将。,Andrea Doria,Roman Catholic Bishop of Andros,"High Confidence - Score: 130.0 (Sim: 1.00, Cat: Match)"
Andrea Ferreri,Q18217670,Q18217670,Person,"[OCR Fix] ""Ferrerio"" -> ""Ferreri"" (巴洛克雕塑家)。 | [Validation] 巴洛克雕塑家。",Andrea Ferreri,Italian sculptor (1673-1744),"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Andrea Gerini,Q44635166,Q44635166,Person,[Category Fix] 原文误标为 Man-Made Object。佛罗伦萨收藏家。 | [Validation] 佛罗伦萨贵族/收藏家。,Andrea Gerini,,"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Andrea Giacomo Podestà,Q4755099,Q4755099,Person,[Validation] 画家/版画家。,Andrea Giacomo Podestà,Italian painter,"High Confidence - Score: 130.0 (Sim: 1.00, Cat: Match)"
Andrea Giustiniani,,Q106395490,Person,[Validation] 贵族 (Prince of Bassano)。,Andrea Giustiniani,,"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Andrea Locatelli,Q494275,Q494275,Person,[Validation] 罗马风景画家。,Andrea Locatelli,Italian painter (1695-1741),"High Confidence - Score: 130.0 (Sim: 1.00, Cat: Match)"
Andrea Mantegna,Q5681,Q5681,Person,[Validation] 文艺复兴画家。,Andrea Mantegna,Italian Renaissance painter (1431-1506),"High Confidence - Score: 130.0 (Sim: 1.00, Cat: Match)"
Andrea Memmo,Q1052776,Q1052776,Person,[Validation] 威尼斯政治家/作家。,Andrea Memmo,Italian politician and diplomat (1729-1793),"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Andrea Ottini,,Q493487,Person,"[Check Original] 可能是 ""Pasquale Ottino"" 的误拼，或同名小众人物。",Andrea Boattini,Wikipedia Page Match,Advanced Match via 'Andrea Ottini': Score 97.9 (Neutral)
Andrea Palladio,Q177692,Q177692,Person,[Validation] 建筑师。,Andrea Palladio,Italian architect (1508–1580),"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Andrea Podestà,,Q3615952,Person,"[OCR Fix] ""Podest角"" -> ""Podestà""。画家/版画家。",Andrea Podestà,Italian politician (1832-1895),"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Andrea Pozzo,Q380103,Q380103,Person,[Validation] 耶稣会画家/建筑师。,Andrea Pozzo,painter of the Late Baroque (1642-1709),"High Confidence - Score: 130.0 (Sim: 1.00, Cat: Match)"
Andrea Procaccini,Q2846401,Q2846401,Person,[Validation] 画家。,Andrea Procaccini,Italian painter (1671-1734),"High Confidence - Score: 130.0 (Sim: 1.00, Cat: Match)"
Andrea Querini,Q62056063,Q62056063,Person,[Validation] 威尼斯贵族。,Andrea Querini,"senator, poet, patron","High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Andrea Sacchi,Q495008,Q495008,Person,[Validation] 罗马巴洛克画家。,Andrea Sacchi,painter active in Rome (1599-1661),"High Confidence - Score: 130.0 (Sim: 1.00, Cat: Match)"
Andrea Schiavone,Q495060,Q495060,Person,[Validation] 威尼斯画家。,Andrea Schiavone,Italian painter (1510-1563),"High Confidence - Score: 130.0 (Sim: 1.00, Cat: Match)"
Andrea Stazio,,Q47543685,Person,威尼斯灰泥艺术家（Stuccatore）。,Andrea Stašková,Wikipedia Page Match,Advanced Match via 'Andrea Stazio': Score 83.6 (Neutral)
Andrea Tessier,Q23011967,Q23011967,Person,[Validation] 19世纪威尼斯档案学家。,Andrea Tessier,bibliographer (1819-1896),"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Andrea Toresani,Q4755304,Q4755304,Person,[Validation] 人物。,Andrea Toresani,Italian painter (1727-1760),"High Confidence - Score: 130.0 (Sim: 1.00, Cat: Match)"
Andrea Torresani,,Q4755304,Person,威尼斯出版商 (Aldine Press)。,Andrea Toresani,Italian painter (1727-1760),"High Confidence - Score: 116.8 (Sim: 0.97, Cat: Match)"
Andrea Tron,Q110224729,Q110352115,Person,[Validation] 威尼斯政治家。,Andrea Tron,1 Apr 1647 - 1 Apr 1722,"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Andrea Vaccaro,Q2707224,Q2707224,Person,[Validation] 那不勒斯画家。,Andrea Vaccaro,Italian painter (1604-1670),"High Confidence - Score: 130.0 (Sim: 1.00, Cat: Match)"
Andrea Zucchi,Q30250990,Q30250990,Person,[Validation] 版画家。,Andrea Zucchi,"Italian painter, scenographer and printmaker (1679–1740)","High Confidence - Score: 130.0 (Sim: 1.00, Cat: Match)"
Andrea del Rosso,,Q2846433,Person,[Validation] 佛罗伦萨收藏家。 | 佛罗伦萨收藏家。,Andrea Del Rosario,Wikipedia Page Match,Advanced Match via 'Andrea del Rosso': Score 93.2 (Neutral)
Andrea del Sarto,Q5571,Q5571,Person,[Validation] 画家。,Andrea del Sarto,Italian painter (1486-1530),"High Confidence - Score: 130.0 (Sim: 1.00, Cat: Match)"
Andreas Scherber,Q500372,Q500372,Person,[Validation] 人物。,Andreas Scherber,German politician (1893-1974),"High Confidence - Score: 130.0 (Sim: 1.00, Cat: Match)"
Andreina Griseri,Q93253370,Q93253370,Person,[Validation] 艺术史学家。,Andreina Griseri,Italian art historian (1925-2022),"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Andrew Fountaine,Q4756994,Q75244499,Person,[Category Fix] 原文误标为 Work。 | [Validation] 英国收藏家。,Andrew Fountaine,Peerage person ID=6242,"High Confidence - Score: 130.0 (Sim: 1.00, Cat: Match)"
Andromache weeping before Aeneas,,,Work,[Validation] 画作主题。,,,No results found
André Félibien,Q518705,Q518705,Person,[Validation] 法国宫廷史官/艺术理论家。,André Félibien,French architecture writer (1619–1695),"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Andrés Marzo,Q4760227,Q4760227,Person,[Validation] 西班牙巴洛克画家。,Andrés Marzo,Spanish baroque painter,"High Confidence - Score: 130.0 (Sim: 1.00, Cat: Match)"
Angel with the Superscription,Q15181138,Q29026912,Work,[Validation] 圣天使桥雕塑 (贝尼尼)。,Angel with the Superscription,Sculpture by GIanlorenzo Bernini,"High Confidence - Score: 130.0 (Sim: 1.00, Cat: Match)"
Angelica Grill,,Q3460926,Person,[Validation] 人物。,"Angelica (village), New York",Wikipedia Page Match,Advanced Match via 'Angelica Grill': Score 62.1 (Neutral)
Angelica Griè,,Q796479,Person,[Check Original] 疑似 OCR 错误或极生僻人名。,Angélica Rivera,Wikipedia Page Match,Advanced Match via 'Angelica Griè': Score 76.4 (Neutral)
Angelo Borzelli,Q61472867,Q61472867,Person,[Validation] 历史学家/文学评论家。,Angelo Borzelli,author (1863-),"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Angelo Calogerà,Q3616914,Q3616914,Person,[Validation] 本笃会修士/作家。,Angelo Calogerà,Italian writer,"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Angelo Caroselli,Q1414382,Q1414382,Person,[Validation] 罗马画家。,Angelo Caroselli,Italian painter (1585-1652),"High Confidence - Score: 130.0 (Sim: 1.00, Cat: Match)"
Angelo Cesi,Q28109298,Q28109298,Person,[Validation] 主教 (Todi)。,Angelo Cesi,"Italian Roman catholic priest, bishop of Rimini (1592-1646)","High Confidence - Score: 130.0 (Sim: 1.00, Cat: Match)"
Angelo Contarini,,Q55226769,Person,[Validation] 威尼斯贵族。,Angelo Contarini,,"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Angelo Crespi,Q3616942,Q114122885,Person,[Validation] 人物。,Angelo Crespi,,"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Angelo Giori,Q536015,Q536015,Person,[Validation] 枢机主教 (贝尼尼赞助人)。,Angelo Giori,Catholic cardinal,"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Angelo Maria Querini,Q536170,Q536170,Person,[Validation] 枢机主教/学者。,Angelo Maria Querini,Italian cardinal,"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Angelo Michele Colonna,Q2312606,Q2312606,Person,[Validation] 夸德拉图拉画家。,Angelo Michele Colonna,Italian painter (1604-1687),"High Confidence - Score: 130.0 (Sim: 1.00, Cat: Match)"
Angelo Pinetti,Q125962639,Q125962639,Person,[Validation] 艺术史学家。,Angelo Pinetti,Italian historian,"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Angelo Querini,Q536447,Q536447,Person,[Validation] 威尼斯贵族。,Angelo Querini,Italian politician (1721-1796),"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Angelo Solerti,Q3617231,Q3617231,Person,[Validation] 音乐史学家/文学评论家。,Angelo Solerti,Italian literary critic and musicologist (1865-1907),"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Angelo Trevisani,Q536726,Q536726,Person,[Validation] 威尼斯画家。,Angelo Trevisani,Italian painter (1669-1753),"High Confidence - Score: 130.0 (Sim: 1.00, Cat: Match)"
Angels carrying the Instruments of the Passion,,,Work,[Validation] 绘画主题。,,,No results found
Anglesey Abbey,,Q3021583,Place,[Validation] 地名（英国庄园）。,Anglesey Abbey,"National Trust property on a former monastic site in Cambridgeshire, England, UK","High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Aniello Falcone,Q546528,Q546528,Person,[Validation] 那不勒斯画家。,Aniello Falcone,Italian Baroque painter (1607–1656),"High Confidence - Score: 130.0 (Sim: 1.00, Cat: Match)"
Animals and Figures in the Flemish Style,,Q27725748,Work,[Validation] 画作描述/标题 (Castiglione风格)。,Animals,scientific journal published by MDPI,Advanced Match via 'Animals': Score 100.0 (Neutral)
Ann Sutherland Harris,Q18934849,Q18934849,Person,[Validation] 艺术史学家。,Ann Sutherland Harris,British art historian (1937-),"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Anna Banti,Q470147,Q470147,Person,[Validation] 作家/艺术史学家 (Roberto Longhi之妻)。,Anna Banti,"Italian novelist, art historian, art critic, and translator (1895–1985)","High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Anna Colonna,Q4766932,Q4766932,Person,[Validation] 巴贝里尼家族成员 (Taddeo Barberini 之妻)。,Anna Colonna,Italian noblewoman,"High Confidence - Score: 130.0 (Sim: 1.00, Cat: Match)"
Anna Maria Luisa de' Medici,Q233181,Q233181,Person,[Validation] 美第奇家族最后一位直系成员。 | 普法尔茨选帝侯夫人，美第奇家族最后一位直系成员。,Anna Maria Luisa de' Medici,Wife of Johann Wilhelm Palatine Elector (1667-1743),"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Annamaria Gabrielli,,,Person,[Validation] 学者/档案学家。,,,No results found
Annan Gallery,,,Organization,[Validation] 画廊。,,,No results found
Anne Claude de Caylus,Q2734012,Q2734012,Person,[Disambiguation] 凯吕斯伯爵。,"Anne Claude Philippe, Comte de Caylus",French antiquarian (1692-1765),"Medium Confidence - Score: 72.4 (Sim: 0.72, Cat: Neutral)"
Anne Claude de Caylus (Comte de Caylus),,Q2734012,Person,[Full Name] 考古学家/收藏家。,Anne Claude de Caylus,Wikipedia Page Match,Advanced Match via 'Anne Claude de Caylus': Score 105.0 (Neutral)
Anne Marie d'Orléans,,Q230873,Person,(Duchess of Savoy) 维托里奥·阿梅迪奥二世之妻。,Anne Marie d'Orléans,Queen Consort of Sardinia (1669-1728),"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Anne of Austria,,Q151209,Person,[Category Fix] 原文误标为 Place。 | [Validation] 奥地利的安妮 (法国王后)。,Anne of Austria,"Queen, consort of Louis XIII, King of France, lived (1601-1666)","High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
"Anne, Queen of Great Britain",,Q119702,Person,[Validation] 安妮女王。,Anne of Great Britain,Queen of Great Britain and Ireland from 1702 to 1714 (1665–1714),"Medium Confidence - Score: 85.7 (Sim: 0.86, Cat: Neutral)"
Anne-Marie du Boccage,Q2850913,Q2850913,Person,[Disambiguation] 法国女作家。 | [Validation] 法国作家。,Anne-Marie du Boccage,French writer,"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Annibale Albani,,Q566836,Person,[Reconstruction] 名字倒装复原。,Annibale Albani,Italian cardinal (1682-1751),"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Annibale Carracci,Q7824,Q7824,Person,[Validation] 博洛尼亚画家。,Annibale Carracci,Bolognese painter (1560–1609),"High Confidence - Score: 130.0 (Sim: 1.00, Cat: Match)"
Annibale Gonzaga,Q566861,Q566861,Person,[Validation] 曼图亚亲王/将军。,Annibale Gonzaga,Austrian field marshal,"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Annibale Laparelli,,,Person,[Validation] 建筑师/雕塑家 (16世纪)。,,,No results found
Annunciation,,Q135642182,Work,[Validation] 圣母领报（主题）。,Annunciation,painting by Juan de Bustamante,"High Confidence - Score: 130.0 (Sim: 1.00, Cat: Match)"
Anselmo Costadoni,Q4770614,Q4770614,Person,[Validation] 本笃会学者。,Anselmo Costadoni,Italian monk (1714-1785),"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Antenor,Q571969,Q745125,Person (Myth),[Validation] 帕多瓦的建立者。,Antenor,male given name,"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
"Anthony Ashley Cooper, 1st Earl of Shaftesbury",,Q336002,Person,,"Anthony Ashley Cooper, 1st Earl of Shaftesbury",English politician and founder of the Whig party (1621-1683),"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
"Anthony Ashley Cooper, 3rd Earl of Shaftesbury",,Q335112,Person,哲学家，《Characteristicks》作者。,"Anthony Ashley-Cooper, 3rd Earl of Shaftesbury",English politician and Earl (1671-1713),"High Confidence - Score: 97.8 (Sim: 0.98, Cat: Neutral)"
"Anthony Ashley-Cooper, 7th Earl of Shaftesbury",Q333294,Q333294,Person,[Validation] 政治家/慈善家。,"Anthony Ashley-Cooper, 7th Earl of Shaftesbury",British politician (1801-1885),"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Anthony Blunt,Q508392,Q75639217,Person,[Validation] 艺术史学家。,Anthony Blunt,Peerage person ID=263847,"High Confidence - Score: 130.0 (Sim: 1.00, Cat: Match)"
Anthony Morris Clark,Q19753768,Q19753768,Person,[Validation] 艺术史学家 (罗马18世纪艺术专家)。,Anthony M. Clark,museum director,"Medium Confidence - Score: 83.3 (Sim: 0.83, Cat: Neutral)"
Anthony Radcliffe,Q59529289,Q59529289,Person,[Validation] 博物馆策展人 (V&A)。,Anthony Radcliffe,British art historian and curator,"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Anthony van Dyck,Q150679,Q150679,Person,[Validation] 画家。,Anthony van Dyck,Flemish Baroque artist (1599–1641),"High Confidence - Score: 130.0 (Sim: 1.00, Cat: Match)"
Anti-papal satire (Alexander VII),,,Work/Concept,[Validation] 历史文献/概念。,,,No results found
Antichiesetta (San Marco),,,Place,[Context] 圣马可教堂的前厅部分。,,,No results found
Antichità di Palazzi,,,Work,"[OCR Fix] 可能是 ""Antichità di Roma"" 或具体的宫殿考古著作。",,,No results found
Antinous,Q171876,Q171876,Person,[Validation] 哈德良皇帝的宠臣/神化人物。,Antinous,lover of Roman emperor Hadrian,"High Confidence - Score: 130.0 (Sim: 1.00, Cat: Match)"
Antoine Coypel,Q585926,Q585926,Person,[Validation] 法国画家。,Antoine Coypel,French painter (1661-1722),"High Confidence - Score: 130.0 (Sim: 1.00, Cat: Match)"
Antoine Dumesnil,Q2853900,Q2853900,Person,[Validation] 18世纪学者/作家。,Antoine Dumesnil,French politician (1805-1891),"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Antoine Pesne,Q203758,Q203758,Person,[Validation] 法国/普鲁士宫廷画家。,Antoine Pesne,French rococo painter (1683-1757),"High Confidence - Score: 130.0 (Sim: 1.00, Cat: Match)"
Antoine Seilern,Q586987,Q586987,Person,[Validation] 收藏家 (Count Seilern)。,Antoine Seilern,"British art historian, collector and museum benefactor (1901-1978)","High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Antoine-Joseph Dezallier d'Argenville,,Q585422,Person,[Disambiguation] 极可能是 d'Argenville (理论家/园林专家)。,Dezallier d'Argenville,French naturalist and writer (1680-1765),"Medium Confidence - Score: 74.6 (Sim: 0.75, Cat: Neutral)"
Anton Domenico Gabbiani,Q1083096,Q1083096,Person,[Validation] 佛罗伦萨画家。,Anton Domenico Gabbiani,Italian painter (1652-1726),"High Confidence - Score: 130.0 (Sim: 1.00, Cat: Match)"
"Anton Florian, Prince of Liechtenstein",,Q589374,Person,[Full Name] 列支敦士登亲王。,"Anton Florian, Prince of Liechtenstein",(1656-1721) Prince of Liechtenstein,"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Anton Francesco Farsetti,,,Person,[Category Fix] 原文误标为 Place。威尼斯收藏家。,,,No results found
Anton Francesco Goli,,Q778529,Person,[Validation] 历史人物。,Antonio Francesco Gori,Wikipedia Page Match,Advanced Match via 'Anton Francesco Goli': Score 95.5 (Neutral)
Anton Maria Zanetti (the Elder),,Q18507790,Person,[Disambiguation] 老扎内蒂 (鉴赏家/版画家)。,Anton Maria Zanetti,"(Venetian artist, 1706–1778)",Advanced Match via 'Anton Maria Zanetti': Score 120.0 (Match)
Anton Maria Zanetti the Elder,,Q944948,Person,威尼斯鉴赏家/版画家。,Antonio Maria Zanetti,"Venetian artist, engraver, art critic, art dealer and connoisseur (1679–1767)","High Confidence - Score: 96.0 (Sim: 0.76, Cat: Match)"
